ID,cap,uncap,wt1,Assigned_gene_name
2,13,2,0.8666666666666667,YAL066W
3,30,6,0.8333333333333334,YAL064W-B
13,44,3,0.9361702127659576,YAL062W
14,234,89,0.7244582043343654,YAL062W
15,12,8,0.6,YAL062W
19,24,11,0.6857142857142857,YAL061W
23,321,150,0.6815286624203821,YAL060W
25,1050,592,0.6394640682095006,YAL059W
27,172,28,0.86,YAL058W
28,183,123,0.5980392156862745,YAL056W
29,79,12,0.8681318681318682,YAL055W
33,913,746,0.5503315250150693,YAL053W
36,58,103,0.36024844720496896,YAL051W
39,3,3,0.5,YAL044W-A
40,17,4,0.8095238095238095,YAL044W-A
41,1644,1096,0.6,YAL044W-A
42,3164,460,0.8730684326710817,YAL042W
46,70,194,0.26515151515151514,YAL041W
51,3,2,0.6,YAL038W
52,92838,3093,0.9677580761172092,YAL038W
58,22,12,0.6470588235294118,YAL037W
59,40,22,0.6451612903225806,YAL037W
61,1747,388,0.8182669789227166,YAL035W
64,127,141,0.4738805970149254,YAL034W-A
66,889,190,0.8239110287303059,YAL033W
67,539,250,0.6831432192648923,YAL030W
68,19,4,0.8260869565217391,YAL028W
69,26,7,0.7878787878787878,YAL028W
70,180,89,0.6691449814126395,YAL027W
74,589,132,0.8169209431345353,YAL019W
75,227,16,0.934156378600823,YAL017W
76,25,4,0.8620689655172413,YAL017W
77,10,4,0.7142857142857143,YAL017W
78,1478,890,0.6241554054054054,YAL016W
79,66,83,0.4429530201342282,YAL013W
81,15047,2237,0.8705739412173108,YAL012W
84,77,36,0.6814159292035398,YAL011W
86,206,113,0.64576802507837,YAL009W
87,373,145,0.7200772200772201,YAL008W
91,14,11,0.56,YAL003W
92,22740,5846,0.7954942979080669,YAL003W
96,141,173,0.4490445859872612,YAL002W
98,242,185,0.5667447306791569,YAR002W
99,153,59,0.7216981132075472,YAR003W
100,239,118,0.6694677871148459,YAR008W
102,598,400,0.5991983967935872,YAR015W
105,0,1,0.0,YAR019W-A
110,144,11,0.9290322580645162,YAR027W
111,233,123,0.6544943820224719,YAR027W
114,355,154,0.6974459724950884,YAR028W
115,2,0,1.0,YAR029W
116,1,1,0.5,YAR029W
120,268,92,0.7444444444444445,YAR033W
122,3,0,1.0,YAR035W
126,184,85,0.6840148698884758,YAR042W
129,2,2,0.5,YAR075W
130,158,113,0.5830258302583026,YBL102W
131,27,3,0.9,YBL100W-A
133,4655,2648,0.6374092838559496,YBL099W
134,9,4,0.6923076923076923,YBL099W
135,375,90,0.8064516129032258,YBL098W
138,42,12,0.7777777777777778,YBL097W
140,196,56,0.7777777777777778,YBL095W
141,45785,25844,0.6391964148599031,YBL092W
146,593,1064,0.35787567893783945,YBL090W
147,249,174,0.5886524822695035,YBL089W
148,219,374,0.36930860033726814,YBL085W
149,1280,268,0.8268733850129198,YBL081W
150,14,10,0.5833333333333334,YBL081W
154,624,456,0.5777777777777777,YBL079W
156,852,252,0.7717391304347826,YBL071W-A
157,678,108,0.8625954198473282,YBL069W
159,1163,409,0.7398218829516541,YBL068W
160,65,40,0.6190476190476191,YBL063W
161,32,13,0.7111111111111111,YBL060W
162,67,35,0.6568627450980392,YBL060W
164,797,185,0.8116089613034623,YBL058W
165,984,346,0.7398496240601504,YBL056W
166,43,18,0.7049180327868853,YBL054W
167,15,2,0.8823529411764706,YBL054W
168,4,18,0.18181818181818185,YBL054W
169,74,248,0.2298136645962733,YBL054W
174,908,568,0.6151761517615176,YBL050W
175,32,13,0.7111111111111111,YBL049W
176,9,3,0.75,YBL049W
178,102,49,0.6754966887417219,YBL046W
180,80,18,0.8163265306122449,YBL043W
182,77,39,0.6637931034482759,YBL041W
183,2189,254,0.896029471960704,YBL041W
185,171,59,0.7434782608695653,YBL039W-B
186,22,15,0.5945945945945946,YBL039W-B
187,339,177,0.6569767441860465,YBL038W
188,175,123,0.587248322147651,YBL037W
190,345,238,0.5917667238421955,YBL032W
191,35,36,0.4929577464788733,YBL031W
192,117,15,0.8863636363636364,YBL029W
194,30759,17296,0.6400790760586827,YBL027W
196,8,9,0.4705882352941176,YBL026W
197,4,0,1.0,YBL026W
198,10,16,0.38461538461538464,YBL026W
199,792,372,0.6804123711340206,YBL026W
200,222,33,0.8705882352941177,YBL025W
201,1382,169,0.8910380399742102,YBL024W
202,12,5,0.7058823529411765,YBL020W
203,748,287,0.7227053140096619,YBL020W
205,46,28,0.6216216216216216,YBL019W
207,10,3,0.7692307692307693,YBL016W
208,452,74,0.8593155893536122,YBL016W
210,272,35,0.8859934853420195,YBL015W
213,39,23,0.6290322580645161,YBL013W
215,683,209,0.7656950672645741,YBL011W
217,174,11,0.9405405405405406,YBL009W
218,248,59,0.8078175895765473,YBL008W
220,2,3,0.4,YBL006W-A
221,22,14,0.6111111111111112,YBL005W
222,115,32,0.782312925170068,YBL005W
224,76,109,0.4108108108108108,YBL005W-A
225,65,68,0.4887218045112782,YBL005W-A
229,823,403,0.6712887438825449,YBL004W
230,7700,2041,0.7904732573657736,YBL002W
234,800,202,0.7984031936127745,YBR003W
235,1,2,0.3333333333333333,YBR005W
236,544,238,0.6956521739130435,YBR005W
237,121,15,0.8897058823529411,YBR005W
239,148,63,0.7014218009478673,YBR006W
248,2796,3285,0.4597927972372965,YBR010W
250,5,8,0.38461538461538464,YBR016W
251,992,393,0.7162454873646209,YBR016W
254,168,55,0.7533632286995515,YBR021W
255,393,149,0.7250922509225092,YBR022W
258,70,74,0.4861111111111111,YBR024W
259,17,11,0.6071428571428571,YBR030W
260,265,93,0.7402234636871509,YBR030W
261,14382,4128,0.7769854132901135,YBR031W
273,623,389,0.6156126482213439,YBR038W
276,2534,745,0.7727965843244892,YBR039W
278,887,234,0.7912578055307761,YBR041W
286,105,19,0.8467741935483871,YBR047W
288,43,33,0.5657894736842105,YBR048W
289,60594,11553,0.8398686016050564,YBR048W
293,15,35,0.3,YBR051W
298,108,56,0.6585365853658537,YBR054W
299,1993,1119,0.6404241645244216,YBR054W
301,248,150,0.6231155778894473,YBR056W
305,410,235,0.6356589147286822,YBR056W-A
313,565,284,0.6654888103651354,YBR071W
316,0,1,0.0,YBR072W
317,4,11,0.26666666666666666,YBR072W
318,50,21,0.7042253521126759,YBR072W
320,571,128,0.8168812589413448,YBR073W
321,985,462,0.6807187284035936,YBR074W
324,6761,6804,0.4984150387025433,YBR078W
329,25,4,0.8620689655172413,YBR083W
330,10,3,0.7692307692307693,YBR083W
331,94,138,0.4051724137931034,YBR083W
333,1269,411,0.7553571428571428,YBR084W
334,175,53,0.7675438596491229,YBR085W
338,25,16,0.6097560975609756,YBR087W
339,386,53,0.8792710706150342,YBR087W
344,168,54,0.7567567567567568,YBR094W
345,463,890,0.3422025129342203,YBR096W
346,181,42,0.8116591928251121,YBR097W
347,51,13,0.796875,YBR098W
348,85,72,0.5414012738853503,YBR103W
349,15,9,0.625,YBR103W
350,598,273,0.6865671641791045,YBR104W
352,4748,1644,0.7428035043804756,YBR106W
355,12,4,0.75,YBR108W
356,46,26,0.6388888888888888,YBR108W
357,226,121,0.6512968299711815,YBR110W
358,685,195,0.7784090909090909,YBR110W
360,571,144,0.7986013986013986,YBR111W-A
362,167,27,0.8608247422680413,YBR114W
366,9,2,0.8181818181818182,YBR118W
367,88386,27678,0.7615281224152192,YBR118W
369,83,58,0.5886524822695035,YBR119W
371,2,0,1.0,YBR124W
373,3353,726,0.8220151998038735,YBR126W-A
