ID,wt_a,dhh_a,m/w,log
14,0.7377655828538779,0.4472555746140652,0.61,-0.7131188522118385
23,0.6658263659496452,0.3602834302325581,0.54,-0.888968687611256
25,0.6214341617643248,0.2456101730305229,0.4,-1.3219280948873622
27,0.86,0.7843137254901961,0.91,-0.13606154957602837
28,0.5754619155354449,0.2148219648219648,0.37,-1.434402824145775
33,0.5620057940284173,0.35609765452697395,0.63,-0.6665762662748083
36,0.3902691511387164,0.25476514635806674,0.65,-0.6214883767462702
41,0.5933974639265414,0.23782635386173,0.4,-1.3219280948873622
42,0.8738291488911369,0.7146600189334475,0.82,-0.2863041851566411
46,0.2959223711215743,0.1131209839625496,0.38,-1.3959286763311392
52,0.9677269732187744,0.8508952141411981,0.88,-0.18442457113742744
59,0.6172235023041475,0.4027777777777778,0.65,-0.6214883767462702
61,0.8241237555223577,0.6024836125189308,0.73,-0.4540316308947075
64,0.4788007636237418,0.17260264789676555,0.36,-1.4739311883324124
66,0.8277163839303703,0.5965573573933636,0.72,-0.47393118833241243
67,0.6823392444872179,0.4082513733100884,0.6,-0.7369655941662062
70,0.6651735836024946,0.43268417397891545,0.65,-0.6214883767462702
74,0.8132223763291724,0.4383064696013768,0.54,-0.888968687611256
78,0.6297382531614183,0.3626625607968268,0.58,-0.7858751946471527
79,0.44117347976408383,0.2800033455205869,0.63,-0.6665762662748083
81,0.869612782813044,0.5453340795223605,0.63,-0.6665762662748083
84,0.6289432587194169,0.5212623613909352,0.83,-0.2688167584278
86,0.6585647637128941,0.3723669839288501,0.57,-0.8109661756099832
87,0.7311229473880076,0.3845182564571285,0.53,-0.9159357352115255
92,0.7933536977653197,0.6069593668001186,0.77,-0.3770696490798233
96,0.4896738081451457,0.1918452736743233,0.39,-1.3584539709124763
98,0.5533110156463269,0.3449545078577336,0.62,-0.6896598793878495
99,0.7047644005191175,0.3937007874015749,0.56,-0.8365012677171204
100,0.6828820417055711,0.2878846451213855,0.42,-1.2515387669959646
102,0.5791690908699119,0.42280381592414495,0.73,-0.4540316308947075
111,0.6465618327557843,0.4010481577349567,0.62,-0.6896598793878495
114,0.6698526933605149,0.34697832899600656,0.52,-0.9434164716336325
120,0.7118448637316561,0.38499712313003454,0.54,-0.888968687611256
126,0.7016133462742872,0.5612324653420544,0.8,-0.3219280948873623
130,0.5684053454080358,0.1787037037037037,0.31,-1.6896598793878495
133,0.6420742071453661,0.35818111136589004,0.56,-0.8365012677171204
135,0.7981533426834969,0.7197802197802198,0.9,-0.15200309344504997
140,0.7775443510737629,0.5552808359768614,0.71,-0.49410907027004275
141,0.6440627927508713,0.43827809591974143,0.68,-0.5563933485243852
146,0.35911801964909984,0.17075977418926566,0.48,-1.0588936890535685
147,0.6019019987105093,0.2686428363847719,0.45,-1.15200309344505
148,0.356348035667474,0.09748784231220252,0.27,-1.8889686876112561
149,0.8239442615180361,0.5842547092547092,0.71,-0.49410907027004275
154,0.5714718272775144,0.3703000507025931,0.65,-0.6214883767462702
156,0.7805252692256134,0.5420918424575073,0.69,-0.5353317329965557
157,0.8643622260526964,0.4833410114928087,0.56,-0.8365012677171204
159,0.7487327162707562,0.4520325978776263,0.6,-0.7369655941662062
160,0.6220238095238095,0.2367504542701393,0.38,-1.3959286763311392
162,0.6568627450980392,0.4280388416854517,0.65,-0.6214883767462702
164,0.8084890444101204,0.4570926414223199,0.57,-0.8109661756099832
165,0.7287599551692657,0.5385954841178722,0.74,-0.4344028241457749
169,0.23990683229813664,0.15228381929670878,0.63,-0.6665762662748083
174,0.6129692418000413,0.2545125483077534,0.42,-1.2515387669959646
178,0.6615188361741396,0.4135769172533879,0.63,-0.6665762662748083
182,0.6652298850574713,0.378861837014108,0.57,-0.8109661756099832
183,0.8896489772254882,0.6639045530492899,0.75,-0.4150374992788438
185,0.6669772256728779,0.4526457918086543,0.68,-0.5563933485243852
187,0.6868954517390409,0.4913562805291689,0.72,-0.47393118833241243
188,0.5550920509820824,0.2902262879152624,0.52,-0.9434164716336325
190,0.5679597342361336,0.2988309746627014,0.53,-0.9159357352115255
191,0.4706168042739194,0.2080536912751678,0.44,-1.1844245711374275
194,0.6330787537156158,0.2698770354273639,0.43,-1.217591435072627
199,0.6933399554454014,0.4292394813713935,0.62,-0.6896598793878495
200,0.8705882352941177,0.7572368421052631,0.87,-0.20091269392599642
201,0.8899634644315495,0.7052659983215539,0.79,-0.3400754415976217
203,0.7339488108509848,0.4429740061794238,0.6,-0.7369655941662062
208,0.8359978523136937,0.6426112989147219,0.77,-0.3770696490798233
210,0.8671346737054926,0.7292447302467342,0.84,-0.2515387669959645
213,0.6290322580645161,0.5576923076923077,0.89,-0.16812275880832692
215,0.7718264639402288,0.5395014472540629,0.7,-0.5145731728297583
218,0.8253061747009374,0.4260082186544343,0.52,-0.9434164716336325
222,0.7689342403628118,0.393524699599466,0.51,-0.9714308478032291
224,0.4674743709226468,0.21350021264961425,0.46,-1.1202942337177118
225,0.5252597786601335,0.2875997242194426,0.55,-0.862496476250065
229,0.6834957075974861,0.516350522178479,0.76,-0.3959286763311392
230,0.7905232845714578,0.6836932836312786,0.86,-0.2175914350726268
234,0.8124669029288362,0.4660464376590331,0.57,-0.8109661756099832
236,0.6873165328163944,0.4349128736529726,0.63,-0.6665762662748083
239,0.7032750030380363,0.477111462008175,0.68,-0.5563933485243852
248,0.4401075552527485,0.16284116251424335,0.37,-1.434402824145775
251,0.7184914072767805,0.4739825384278251,0.66,-0.5994620704162712
254,0.7237404378791875,0.5176111767020858,0.72,-0.47393118833241243
255,0.7176863123771424,0.5313786722183669,0.74,-0.4344028241457749
258,0.5218166175024582,0.418338683788122,0.8,-0.3219280948873623
260,0.753124552356396,0.32536873156342183,0.43,-1.217591435072627
261,0.7726705120538226,0.475064220923919,0.61,-0.7131188522118385
273,0.6298811130129638,0.4041162080158432,0.64,-0.6438561897747246
276,0.7591181948780938,0.6168760412049448,0.81,-0.3040061868900999
278,0.8086970845835699,0.5014504219409283,0.62,-0.6896598793878495
289,0.8332332483176881,0.6885887516277873,0.83,-0.2688167584278
299,0.634232939736139,0.32127733446574697,0.51,-0.9714308478032291
301,0.6075577889447237,0.359500880457709,0.59,-0.7612131404128835
305,0.6330644654680688,0.34629675846728664,0.55,-0.862496476250065
313,0.6709543879708637,0.2874198380601236,0.43,-1.217591435072627
318,0.7379822412737292,0.4554340595718122,0.62,-0.6896598793878495
320,0.8328021225944444,0.5729397566126924,0.69,-0.5353317329965557
321,0.670308602780477,0.3939492795389049,0.59,-0.7612131404128835
324,0.4944982312488497,0.3102409664374562,0.63,-0.6665762662748083
331,0.4057825539285152,0.21452531017748408,0.53,-0.9159357352115255
333,0.7588228099458962,0.4994815070860698,0.66,-0.5994620704162712
334,0.7180260734709702,0.4578313253012048,0.64,-0.6438561897747246
339,0.8652765609485427,0.7121124041343558,0.82,-0.2863041851566411
344,0.7510198878123406,0.5135321100917432,0.68,-0.5563933485243852
345,0.3226052916835445,0.09297752388927936,0.29,-1.7858751946471527
346,0.8283295964125561,0.5571024258760108,0.67,-0.5777669993169522
348,0.5951687220490582,0.27258823529411763,0.46,-1.1202942337177118
350,0.6960574085475892,0.5608708114770545,0.81,-0.3040061868900999
352,0.7324132637962012,0.3542080954902434,0.48,-1.0588936890535685
356,0.6388888888888888,0.5060728744939271,0.79,-0.3400754415976217
357,0.6734745019421124,0.26188207266229896,0.39,-1.3584539709124763
358,0.7898115257276865,0.423621487056517,0.54,-0.888968687611256
360,0.7823282222364791,0.4629252096924511,0.59,-0.7612131404128835
362,0.8608247422680413,0.5867497407311382,0.68,-0.5563933485243852
367,0.760738966552331,0.40421448971959895,0.53,-0.9159357352115255
369,0.5721040189125295,0.20164823248752986,0.35,-1.5145731728297585
373,0.8194792372564079,0.6818222866765473,0.83,-0.2688167584278
376,0.7509803921568627,0.4095452273863068,0.55,-0.862496476250065
378,0.6669260300597535,0.4018178942877738,0.6,-0.7369655941662062
379,0.6700167504187604,0.4548395445134576,0.68,-0.5563933485243852
381,0.9402292390414444,0.8129700989854055,0.86,-0.2175914350726268
384,0.8930190632469528,0.5015135620697566,0.56,-0.8365012677171204
385,0.775,0.5983598875351452,0.77,-0.3770696490798233
386,0.4166252810771289,0.3515194523292703,0.84,-0.2515387669959645
388,0.5815039738495065,0.1695836648103951,0.29,-1.7858751946471527
390,0.3900234324888009,0.2095140087895748,0.54,-0.888968687611256
393,0.5667238650337953,0.4134534725983731,0.73,-0.4540316308947075
394,0.7239864824522646,0.5543398875072324,0.77,-0.3770696490798233
398,0.7810808488701779,0.52318328439294,0.67,-0.5777669993169522
400,0.730591484847186,0.4598968268894919,0.63,-0.6665762662748083
407,0.8811434762779227,0.7396340135066444,0.84,-0.2515387669959645
408,0.7086951917806457,0.635290777908784,0.9,-0.15200309344504997
409,0.5233006280614239,0.2749774336072973,0.53,-0.9159357352115255
410,0.6748745399799264,0.4346698113207547,0.64,-0.6438561897747246
413,0.6649653149850544,0.3701983959476573,0.56,-0.8365012677171204
414,0.9015485794680024,0.7138331936481777,0.79,-0.3400754415976217
415,0.5694628099173553,0.3732142857142857,0.66,-0.5994620704162712
418,0.81947762382545,0.6531610565251551,0.8,-0.3219280948873623
424,0.7711046250561293,0.5676436781609195,0.74,-0.4344028241457749
426,0.5594156726346476,0.409532764853887,0.73,-0.4540316308947075
429,0.6788890725739791,0.48033060853769305,0.71,-0.49410907027004275
431,0.7808107396683338,0.5591457960644007,0.72,-0.47393118833241243
436,0.8795723089099955,0.6747443070233224,0.77,-0.3770696490798233
440,0.7120442473836014,0.4501376208378088,0.63,-0.6665762662748083
441,0.6284615506004638,0.4168517611375425,0.66,-0.5994620704162712
444,0.6222082596907386,0.3558937378996317,0.57,-0.8109661756099832
446,0.8753423975297574,0.7119419042495965,0.81,-0.3040061868900999
447,0.5176651305683564,0.3712797619047619,0.72,-0.47393118833241243
454,0.7441173444011868,0.5151099548760919,0.69,-0.5353317329965557
455,0.6494749322493225,0.3950305607228275,0.61,-0.7131188522118385
456,0.5186154741128564,0.2932381426105275,0.57,-0.8109661756099832
458,0.6110285659509203,0.463936487241572,0.76,-0.3959286763311392
464,0.8830935790191415,0.7251515151515151,0.82,-0.2863041851566411
465,0.4906676302496974,0.19568709225618675,0.4,-1.3219280948873622
468,0.6856819650937298,0.4923541963015648,0.72,-0.47393118833241243
469,0.8491582093261969,0.6522442886047105,0.77,-0.3770696490798233
471,0.7460945425035505,0.5541096522029041,0.74,-0.4344028241457749
472,0.7317073170731707,0.5383333333333333,0.74,-0.4344028241457749
473,0.8836230848614749,0.5811597622498623,0.66,-0.5994620704162712
482,0.14097744360902256,0.04525372995800172,0.32,-1.6438561897747246
484,0.5030673263720252,0.2785636905299269,0.55,-0.862496476250065
485,0.8040665810512607,0.6129738958714748,0.76,-0.3959286763311392
486,0.2544738725841088,0.0907422240021359,0.36,-1.4739311883324124
491,0.4982711078040881,0.34638474295190713,0.7,-0.5145731728297583
494,0.7502068711882068,0.5781356818273213,0.77,-0.3770696490798233
495,0.5671331604636973,0.27993197278911564,0.49,-1.0291463456595165
499,0.7386559139784946,0.5864026817515191,0.79,-0.3400754415976217
500,0.9057202667744706,0.7993838391189385,0.88,-0.18442457113742744
502,0.7078303415462612,0.413562762592645,0.58,-0.7858751946471527
503,0.4435209749626927,0.19692500481974168,0.44,-1.1844245711374275
507,0.8409590175741861,0.5870527421905682,0.7,-0.5145731728297583
508,0.5773467039289824,0.5208333333333334,0.9,-0.15200309344504997
509,0.7384063906651469,0.5210261311664266,0.71,-0.49410907027004275
510,0.6952140275478469,0.3366604932766011,0.48,-1.0588936890535685
511,0.5833484162895928,0.35388053467000835,0.61,-0.7131188522118385
513,0.4873172298634341,0.2993054141996997,0.61,-0.7131188522118385
517,0.4726530005941771,0.17170089944959055,0.36,-1.4739311883324124
518,0.8544675814476007,0.6327900912646676,0.74,-0.4344028241457749
519,0.6270770603323297,0.3865031577295729,0.62,-0.6896598793878495
522,0.7701504696185547,0.3957379266299754,0.51,-0.9714308478032291
526,0.405163936141276,0.13870202088702022,0.34,-1.5563933485243853
532,0.5723954784792636,0.2982731280603621,0.52,-0.9434164716336325
