ID,wt_a,pat_a,m/w,log
14,0.7377655828538779,0.5187488019934828,0.7,-0.5145731728297583
23,0.6658263659496452,0.4892041313606692,0.73,-0.4540316308947075
25,0.6214341617643248,0.3279591823550373,0.53,-0.9159357352115255
27,0.86,0.7314285714285714,0.85,-0.23446525363702297
28,0.5754619155354449,0.3245040101308569,0.56,-0.8365012677171204
33,0.5620057940284173,0.4102683884821736,0.73,-0.4540316308947075
36,0.3902691511387164,0.23118699549901425,0.59,-0.7612131404128835
41,0.5933974639265414,0.3302845744394769,0.56,-0.8365012677171204
42,0.8738291488911369,0.7637970073043447,0.87,-0.20091269392599642
46,0.2959223711215743,0.15930855835650848,0.54,-0.888968687611256
52,0.9677269732187744,0.908107992024352,0.94,-0.08926733809708741
59,0.6172235023041475,0.4262288986391017,0.69,-0.5353317329965557
61,0.8241237555223577,0.6886763958599423,0.84,-0.2515387669959645
64,0.4788007636237418,0.2503405261061041,0.52,-0.9434164716336325
66,0.8277163839303703,0.7277499587641205,0.88,-0.18442457113742744
67,0.6823392444872179,0.4945008912327512,0.72,-0.47393118833241243
70,0.6651735836024946,0.4681320170146629,0.7,-0.5145731728297583
74,0.8132223763291724,0.5599662068166389,0.69,-0.5353317329965557
78,0.6297382531614183,0.4798818928261548,0.76,-0.3959286763311392
79,0.44117347976408383,0.31682294539437394,0.72,-0.47393118833241243
81,0.869612782813044,0.6784288402211054,0.78,-0.3584539709124763
84,0.6289432587194169,0.5169696354219558,0.82,-0.2863041851566411
86,0.6585647637128941,0.5313057005538226,0.81,-0.3040061868900999
87,0.7311229473880076,0.5400412846103588,0.74,-0.4344028241457749
92,0.7933536977653197,0.6657479331047127,0.84,-0.2515387669959645
96,0.4896738081451457,0.26376434799526005,0.54,-0.888968687611256
98,0.5533110156463269,0.4740346035272249,0.86,-0.2175914350726268
99,0.7047644005191175,0.485398293029872,0.69,-0.5353317329965557
100,0.6828820417055711,0.4629173868674282,0.68,-0.5563933485243852
102,0.5791690908699119,0.4931663266206923,0.85,-0.23446525363702297
111,0.6465618327557843,0.4615868086364981,0.71,-0.49410907027004275
114,0.6698526933605149,0.4992086904260215,0.75,-0.4150374992788438
120,0.7118448637316561,0.5044054747647562,0.71,-0.49410907027004275
126,0.7016133462742872,0.5242616033755274,0.75,-0.4150374992788438
130,0.5684053454080358,0.28059769660910244,0.49,-1.0291463456595165
133,0.6420742071453661,0.4718070409872394,0.73,-0.4540316308947075
135,0.7981533426834969,0.7066387185583782,0.89,-0.16812275880832692
140,0.7775443510737629,0.6725817986769176,0.87,-0.20091269392599642
141,0.6440627927508713,0.5175159186528044,0.8,-0.3219280948873623
146,0.35911801964909984,0.22418448382104228,0.62,-0.6896598793878495
147,0.6019019987105093,0.4099307159353349,0.68,-0.5563933485243852
148,0.356348035667474,0.14493459805959807,0.41,-1.286304185156641
149,0.8239442615180361,0.6807752445365622,0.83,-0.2688167584278
154,0.5714718272775144,0.3505478556276814,0.61,-0.7131188522118385
156,0.7805252692256134,0.6559166968644086,0.84,-0.2515387669959645
