TC_ID,wt.1,wt.2,dcp2.1,dcp2.2,dhh1.1,dhh1.2,pat1.1,pat1.2,xrn1.1,xrn1.2
1944,70,118,68,86,204,205,224,219,224,241
1957,762,695,565,466,609,834,703,905,1024,925
1960,2307,2709,3583,3432,3559,2263,2849,3636,3880,5543
7083,222,157,424,401,369,421,489,475,325,344
96,324,203,391,427,248,246,430,419,334,323
92,32089,25922,21276,19205,16774,18401,47513,50051,29750,35376
7080,4548,3421,9224,12454,16022,19127,26442,23857,10144,11265
7077,4468,3919,3310,3534,3755,5341,10956,11605,4155,4280
87,593,475,760,720,836,844,2934,3102,762,794
86,351,235,369,391,237,221,851,788,353,373
7075,197,146,273,313,277,333,561,612,262,242
84,124,95,162,168,280,267,236,251,140,142
81,19696,14671,20684,22333,19195,28101,39014,38695,15694,16371
79,160,143,313,257,561,529,570,597,224,306
7074,799,672,1779,1851,597,572,1591,1696,1534,1524
7071,107,92,276,310,139,140,333,390,189,220
78,2541,1901,2462,2589,2908,3264,4940,5476,3704,3597
151,286,269,394,425,585,593,490,559,424,389
74,850,647,1014,1075,967,1013,1417,1425,1154,1239
7065,495,314,963,1078,325,361,874,844,881,771
7064,671,417,562,667,1061,1765,1532,1418,574,628
7062,485,372,685,630,319,304,594,718,649,627
7060,1115,659,485,438,388,330,944,946,464,406
7058,255,200,244,245,259,253,422,405,299,328
7056,1662,1249,1610,1708,1602,2199,3010,3263,1636,1835
7054,955,696,674,689,865,865,1094,1212,807,815
70,287,188,456,417,384,464,989,923,403,409
69,23,22,191,217,88,113,196,213,100,90
7051,632,530,805,830,665,843,1145,1286,816,791
67,878,1083,788,617,644,441,1471,1927,650,813
7048,370,326,779,854,586,608,1135,1144,602,646
7047,114,91,168,142,202,259,296,294,170,188
66,1249,1080,1195,1186,906,1023,3308,3182,1850,2005
14089,172,144,548,523,252,260,384,435,358,394
64,280,223,297,319,343,488,648,657,259,324
61,2301,1676,2126,2500,7180,8340,9729,8087,3043,3918
7041,2262,1770,2016,2069,1702,1266,5035,5450,2792,2822
59,41,31,77,105,66,95,255,250,76,94
52,98068,53126,37091,52469,74372,118347,117210,87905,80866,67711
7036,442,358,708,721,1547,1642,2310,2374,731,684
7034,4573,3807,7501,7183,4242,5495,6533,6842,4644,4831
46,301,284,368,392,415,343,568,670,469,499
42,4095,3060,3448,3806,3008,3433,7494,7528,4044,3909
7031,194,167,200,197,151,131,270,283,278,324
7030,1208,1162,2046,1980,1954,2164,3944,3777,3059,3296
81,3182,2665,5702,5402,3367,3489,10208,9909,3881,4371
7028,516,477,366,360,241,215,1111,1265,457,523
7026,118,88,208,198,110,137,274,287,201,187
7025,167,154,505,516,126,146,322,332,382,374
7024,955,749,953,913,1055,1061,3032,3390,1234,1295
36,189,163,279,249,256,230,241,312,188,233
33,1849,1401,2960,2915,2728,2968,6614,6568,1950,1902
29,91,65,190,163,254,281,667,764,103,135
28,356,233,318,294,207,165,438,490,455,413
27,206,164,202,211,99,62,206,231,185,231
25,1772,1270,1656,1723,1350,1647,3968,3989,1550,1810
23,479,411,1519,1664,1125,1677,3203,3270,1231,1288
19,35,48,127,113,294,363,308,363,45,49
27,409,307,235,252,150,252,360,393,143,192
6998,52,47,535,577,48,77,372,451,160,200
3,40,42,227,229,35,15,117,132,65,77
7086,4709,4966,3574,3145,2415,1732,8157,9436,4318,4899
98,454,356,517,470,580,604,777,1013,403,481
99,222,203,292,301,140,136,526,497,651,797
7087,445,340,402,380,461,490,690,941,403,432
100,385,281,550,547,302,471,879,968,474,536
7089,674,526,1128,1168,993,1162,1493,1619,1310,1380
102,978,736,1717,1768,1510,1686,3100,3168,3268,3304
7091,230,187,291,264,406,363,383,570,284,312
7092,46,36,73,62,82,81,97,121,59,61
7097,88,55,324,320,28,21,108,134,208,207
221,517,457,805,746,522,1167,998,1223,355,568
114,585,539,629,685,648,761,1553,1689,538,669
120,380,326,758,775,654,667,1138,1073,441,459
126,300,217,410,409,415,452,508,556,297,332
7220,2550,2160,1917,1560,1380,1442,2104,2216,1626,1769
230,10692,8822,10010,9186,6657,6927,13834,15912,10213,10261
7217,14357,13217,8374,7689,7168,6511,14967,15297,7843,8968
229,1305,913,1059,1232,1248,1581,965,879,1169,1126
443,187,165,190,190,118,136,162,155,172,188
449,313,226,306,316,225,329,230,205,153,158
7211,1820,1371,3222,3180,2613,3267,3252,3153,2614,2895
7209,2095,1657,1710,1669,2595,2559,1737,2030,2146,1962
218,335,257,304,315,343,349,241,278,429,438
217,190,120,106,116,73,87,96,139,125,138
7206,171,101,534,529,231,264,208,198,291,343
215,931,646,679,693,595,641,512,603,633,652
213,62,38,50,46,56,47,39,24,56,40
7203,321,248,281,271,185,186,169,238,330,347
210,327,310,439,463,418,514,335,433,434,436
208,605,399,913,954,1243,1252,732,670,551,615
14399,683,643,879,903,765,1035,580,562,659,595
7196,1129,1110,1550,1560,489,546,588,613,1460,1520
205,58,61,99,91,34,42,38,36,98,115
203,1166,920,800,791,882,967,1197,1152,1474,1523
7194,347,286,578,523,445,488,440,436,461,485
7193,571,452,582,627,979,1002,614,657,937,1016
7192,277,211,274,256,508,554,252,338,307,319
201,1865,1348,1308,1398,2315,2221,1802,1881,2160,2132
200,302,219,551,575,254,351,258,308,682,699
199,1304,1201,789,635,603,568,993,1191,981,1068
194,54863,46316,33225,29493,32279,25238,29871,33113,48773,55396
7185,3358,2087,3055,2943,3596,3876,4753,5180,3183,3407
7180,1165,996,1854,1585,1652,1133,1317,1276,1551,1678
192,139,102,106,126,70,57,31,30,202,195
7179,26111,19771,19184,18526,16945,18291,18740,20810,24125,22998
191,71,58,84,78,130,160,70,71,69,94
190,652,461,521,571,694,921,678,683,734,727
7177,416,352,626,631,773,977,368,445,347,491
7176,281,197,314,330,433,339,248,283,420,393
