ID,cap,uncap,pat1_2,Assigned_gene_name
2,10,19,0.3448275862068966,YAL066W
3,72,60,0.5454545454545454,YAL064W-B
13,75,12,0.8620689655172413,YAL062W
14,157,139,0.5304054054054054,YAL062W
15,355,525,0.4034090909090909,YAL062W
19,195,128,0.6037151702786377,YAL061W
23,1654,1570,0.5130272952853598,YAL060W
25,1913,3574,0.3486422453070895,YAL059W
27,152,48,0.76,YAL058W
28,142,270,0.3446601941747573,YAL056W
29,495,170,0.7443609022556391,YAL055W
33,2606,3406,0.4334664005322688,YAL053W
36,70,191,0.2681992337164751,YAL051W
39,10,21,0.3225806451612903,YAL044W-A
40,26,35,0.4262295081967213,YAL044W-A
41,3001,5521,0.3521473832433701,YAL044W-A
42,5147,1495,0.7749171936163806,YAL042W
46,105,463,0.18485915492957747,YAL041W
51,12,29,0.2926829268292683,YAL038W
52,76867,7656,0.909421104314802,YAL038W
58,24,22,0.5217391304347826,YAL037W
59,92,134,0.4070796460176992,YAL037W
61,5067,2232,0.6942046855733662,YAL035W
64,172,435,0.2833607907742998,YAL034W-A
66,2117,711,0.7485855728429985,YAL033W
67,927,870,0.5158597662771286,YAL030W
68,28,20,0.5833333333333334,YAL028W
69,86,108,0.4432989690721649,YAL028W
70,439,417,0.5128504672897196,YAL027W
74,743,480,0.6075224856909239,YAL019W
75,328,107,0.7540229885057471,YAL017W
76,45,23,0.6617647058823529,YAL017W
77,12,22,0.35294117647058826,YAL017W
78,2509,2383,0.5128781684382666,YAL016W
79,176,342,0.33976833976833976,YAL013W
81,23569,9718,0.7080541953315108,YAL012W
84,126,103,0.5502183406113537,YAL011W
86,349,334,0.5109809663250366,YAL009W
87,1457,1154,0.558023745691306,YAL008W
91,44,152,0.22448979591836732,YAL003W
92,31604,14458,0.6861187095653685,YAL003W
96,112,289,0.2793017456359102,YAL002W
98,474,485,0.4942648592283629,YAR002W
99,231,213,0.5202702702702703,YAR003W
100,463,454,0.5049073064340239,YAR008W
102,1568,1453,0.5190334326381992,YAR015W
105,22,30,0.4230769230769231,YAR019W-A
110,48,11,0.8135593220338984,YAR027W
111,516,588,0.4673913043478261,YAR027W
114,740,726,0.504774897680764,YAR028W
115,24,11,0.6857142857142857,YAR029W
116,16,16,0.5,YAR029W
120,548,454,0.5469061876247505,YAR033W
122,52,18,0.7428571428571429,YAR035W
126,260,214,0.5485232067510548,YAR042W
129,13,16,0.4482758620689655,YAR075W
130,160,337,0.3219315895372233,YBL102W
131,44,55,0.4444444444444444,YBL100W-A
133,1922,1991,0.4911832353692819,YBL099W
134,16,15,0.5161290322580645,YBL099W
135,177,85,0.6755725190839694,YBL098W
138,45,33,0.5769230769230769,YBL097W
140,220,109,0.668693009118541,YBL095W
141,19122,16628,0.5348811188811189,YBL092W
146,1036,3191,0.2450910811450201,YBL090W
147,180,253,0.41570438799076215,YBL089W
148,70,374,0.15765765765765766,YBL085W
149,643,284,0.6936353829557713,YBL081W
150,9,24,0.2727272727272727,YBL081W
154,186,321,0.3668639053254438,YBL079W
156,735,356,0.6736938588450962,YBL071W-A
157,383,172,0.69009009009009,YBL069W
159,997,589,0.6286254728877679,YBL068W
160,38,81,0.3193277310924369,YBL063W
161,32,35,0.4776119402985074,YBL060W
162,33,51,0.3928571428571429,YBL060W
164,734,428,0.6316695352839932,YBL058W
165,627,505,0.5538869257950529,YBL056W
166,49,27,0.6447368421052632,YBL054W
167,4,1,0.8,YBL054W
168,15,38,0.2830188679245283,YBL054W
169,40,156,0.20408163265306126,YBL054W
174,944,1408,0.4013605442176871,YBL050W
175,395,61,0.8662280701754386,YBL049W
176,139,85,0.6205357142857143,YBL049W
178,137,122,0.528957528957529,YBL046W
180,126,63,0.6666666666666666,YBL043W
182,67,71,0.4855072463768116,YBL041W
183,5026,1221,0.8045461821674403,YBL041W
185,136,145,0.4839857651245552,YBL039W-B
186,50,22,0.6944444444444444,YBL039W-B
187,388,264,0.5950920245398773,YBL038W
188,99,159,0.38372093023255816,YBL037W
190,264,369,0.4170616113744076,YBL032W
191,19,51,0.2714285714285714,YBL031W
192,23,10,0.696969696969697,YBL029W
194,11398,19015,0.3747739453523165,YBL027W
196,3,9,0.25,YBL026W
197,14,6,0.7,YBL026W
198,11,15,0.4230769230769231,YBL026W
199,546,439,0.5543147208121827,YBL026W
200,238,32,0.8814814814814815,YBL025W
201,1229,386,0.7609907120743034,YBL024W
202,11,17,0.3928571428571429,YBL020W
203,643,414,0.6083254493850521,YBL020W
205,28,31,0.4745762711864407,YBL019W
206,0,4,0.0,YBL016W
207,4,11,0.26666666666666666,YBL016W
208,498,145,0.7744945567651633,YBL016W
210,345,71,0.8293269230769231,YBL015W
213,15,20,0.42857142857142855,YBL013W
215,353,256,0.5796387520525451,YBL011W
217,111,19,0.8538461538461538,YBL009W
218,148,100,0.5967741935483871,YBL008W
220,6,23,0.20689655172413796,YBL006W-A
221,13,31,0.2954545454545455,YBL005W
222,50,53,0.4854368932038835,YBL005W
224,45,85,0.3461538461538461,YBL005W-A
225,35,47,0.4268292682926829,YBL005W-A
229,442,397,0.5268176400476758,YBL004W
230,11010,3921,0.737392003214788,YBL002W
234,754,392,0.6579406631762653,YBR003W
235,6,2,0.75,YBR005W
236,930,899,0.5084745762711864,YBR005W
237,504,130,0.7949526813880127,YBR005W
239,517,374,0.5802469135802469,YBR006W
248,2195,6491,0.2527055031084504,YBR010W
250,17,24,0.4146341463414634,YBR016W
251,2492,1664,0.5996150144369586,YBR016W
254,117,40,0.7452229299363057,YBR021W
255,449,294,0.604306864064603,YBR022W
258,128,154,0.4539007092198582,YBR024W
259,46,34,0.575,YBR030W
260,129,93,0.581081081081081,YBR030W
261,5606,3853,0.5926630722063643,YBR031W
264,3,3,0.5,YBR033W
265,1,2,0.3333333333333333,YBR033W
273,454,406,0.5279069767441861,YBR038W
276,2239,1079,0.6748040988547318,YBR039W
278,439,275,0.6148459383753502,YBR041W
286,240,112,0.6818181818181818,YBR047W
288,29,50,0.3670886075949367,YBR048W
289,28568,9177,0.7568684593985958,YBR048W
293,8,24,0.25,YBR051W
298,58,41,0.5858585858585859,YBR054W
299,787,775,0.5038412291933418,YBR054W
301,294,348,0.4579439252336449,YBR056W
305,1029,1388,0.4257343814646256,YBR056W-A
313,1462,2050,0.4162870159453303,YBR071W
316,13,5,0.7222222222222222,YBR072W
317,16,125,0.11347517730496455,YBR072W
318,1855,1406,0.5688439129101502,YBR072W
320,780,303,0.7202216066481995,YBR073W
321,359,346,0.5092198581560283,YBR074W
324,4874,6885,0.4144910281486521,YBR078W
329,6,6,0.5,YBR083W
330,12,4,0.75,YBR083W
331,144,335,0.3006263048016701,YBR083W
333,477,310,0.6060991105463787,YBR084W
334,170,130,0.5666666666666667,YBR085W
338,8,1,0.8888888888888888,YBR087W
339,496,154,0.7630769230769231,YBR087W
344,108,60,0.6428571428571429,YBR094W
345,476,2690,0.15034744156664562,YBR096W
346,117,50,0.7005988023952096,YBR097W
347,91,32,0.7398373983739838,YBR098W
348,23,93,0.19827586206896552,YBR103W
349,27,21,0.5625,YBR103W
350,573,245,0.7004889975550123,YBR104W
352,2879,2587,0.5267105744603,YBR106W
355,17,4,0.8095238095238095,YBR108W
356,89,75,0.5426829268292683,YBR108W
357,231,268,0.4629258517034068,YBR110W
358,610,351,0.6347554630593132,YBR110W
360,721,493,0.5939044481054365,YBR111W-A
362,149,55,0.7303921568627451,YBR114W
366,67,25,0.7282608695652174,YBR118W
367,45946,33955,0.5750366078021552,YBR118W
369,57,100,0.3630573248407643,YBR119W
371,4,3,0.5714285714285714,YBR124W
373,2346,907,0.7211804488164771,YBR126W-A
376,57,34,0.6263736263736264,YBR131W
377,2,6,0.25,YBR135W
378,1112,770,0.5908607863974495,YBR135W
379,47,59,0.4433962264150944,YBR136W
381,1834,314,0.8538175046554934,YBR137W
384,2546,1325,0.6577111857401189,YBR139W
385,132,53,0.7135135135135136,YBR141W-A
386,217,258,0.4568421052631579,YBR142W
388,214,440,0.327217125382263,YBR145W
390,417,1078,0.27892976588628765,YBR146W
392,130,80,0.6190476190476191,YBR147W
393,1676,1930,0.4647809206877426,YBR149W
394,805,549,0.5945347119645494,YBR151W
396,9,18,0.3333333333333333,YBR152W
398,141,72,0.6619718309859155,YBR153W
400,416,176,0.7027027027027027,YBR155W
406,8,30,0.21052631578947367,YBR158W
407,780,204,0.7926829268292683,YBR158W
408,1854,837,0.6889632107023411,YBR159W
409,251,379,0.3984126984126984,YBR160W
410,165,160,0.5076923076923077,YBR161W
412,56,8,0.875,YBR162W-A
413,106,64,0.6235294117647059,YBR162W-A
414,6243,1211,0.8375368929433861,YBR162W-A
415,157,153,0.5064516129032258,YBR163W
416,7,4,0.6363636363636364,YBR163W
418,306,106,0.7427184466019418,YBR165W
419,19,15,0.5588235294117647,YBR165W
421,31,3,0.9117647058823528,YBR168W
