TC_ID	Chr.wt	start	end	Strand.dcp2	Assigned_gene_name	in_coding_gene
1	chrI	8072	8087	+	NA	NA
2	chrI	9327	9373	+	YAL066W	NA
3	chrI	11318	11343	+	YAL064W-B	NA
4	chrI	12678	12704	+	NA	NA
5	chrI	16975	17006	+	NA	NA
6	chrI	18002	18042	+	NA	NA
7	chrI	22763	22796	+	NA	NA
8	chrI	22990	23007	+	NA	NA
9	chrI	23351	23403	+	NA	NA
10	chrI	23765	23780	+	NA	NA
11	chrI	24834	25006	+	NA	NA
12	chrI	30000	30150	+	NA	NA
13	chrI	31108	31119	+	YAL062W	NA
14	chrI	31188	31242	+	YAL062W	NA
15	chrI	31519	31569	+	YAL062W	NA
16	chrI	31713	31756	+	NA	YAL012W
17	chrI	32455	32469	+	NA	YAL012W
18	chrI	32661	32694	+	NA	YAL012W
19	chrI	33345	33362	+	YAL061W	NA
20	chrI	33755	33770	+	NA	YAL013W
21	chrI	33868	34003	+	NA	YAL013W
22	chrI	34171	34255	+	NA	YAL013W
23	chrI	35057	35185	+	YAL060W	YAL016W
24	chrI	35826	35845	+	NA	YAL016W
25	chrI	36513	36567	+	YAL059W	YAL017W
26	chrI	36773	36780	+	NA	YAL017W
27	chrI	37380	37449	+	YAL058W	NA
28	chrI	39196	39237	+	YAL056W	NA
29	chrI	42155	42203	+	YAL055W	NA
30	chrI	42383	42395	+	NA	YAL027W
31	chrI	43438	43490	+	NA	NA
32	chrI	43782	43787	+	NA	NA
33	chrI	45748	45920	+	YAL053W	NA
34	chrI	46622	46652	+	NA	YAL028W
35	chrI	47644	47644	+	NA	YAL028W
36	chrI	48511	48570	+	YAL051W	NA
37	chrI	48790	48866	+	NA	YAL030W
38	chrI	48944	48977	+	NA	YAL030W
39	chrI	56531	56579	+	YAL044W-A	NA
40	chrI	56968	57006	+	YAL044W-A	NA
41	chrI	57500	57520	+	YAL044W-A	NA
42	chrI	61274	61300	+	YAL042W	NA
43	chrI	61482	61589	+	NA	YAL034W-A
44	chrI	61765	61794	+	NA	YAL034W-A
45	chrI	61863	61992	+	NA	YAL034W-A
46	chrI	62769	62815	+	YAL041W	NA
47	chrI	62926	62991	+	NA	YAL035W
48	chrI	68174	68207	+	NA	NA
49	chrI	68692	68735	+	NA	NA
50	chrI	69907	70007	+	NA	NA
51	chrI	71463	71510	+	YAL038W	NA
52	chrI	71729	71759	+	YAL038W	NA
53	chrI	71819	71916	+	NA	YAL038W
54	chrI	71986	72077	+	NA	YAL038W
55	chrI	72229	72471	+	NA	YAL038W
56	chrI	72539	72783	+	NA	YAL038W
57	chrI	72942	72974	+	NA	YAL038W
58	chrI	73418	73486	+	YAL037W	NA
59	chrI	73818	73993	+	YAL037W	NA
60	chrI	74726	74730	+	NA	YAL037W
61	chrI	76384	76405	+	YAL035W	NA
62	chrI	76588	76676	+	NA	YAL041W
63	chrI	76931	77120	+	NA	YAL041W
64	chrI	79674	79695	+	YAL034W-A	NA
65	chrI	80919	80943	+	NA	NA
66	chrI	82685	82704	+	YAL033W	NA
67	chrI	87250	87270	+	YAL030W	NA
68	chrI	92388	92424	+	YAL028W	NA
69	chrI	92836	92893	+	YAL028W	NA
70	chrI	94595	94680	+	YAL027W	NA
71	chrI	95118	95173	+	NA	YAL055W
72	chrI	99397	99428	+	NA	NA
73	chrI	110675	110727	+	NA	NA
74	chrI	114806	114828	+	YAL019W	YAL056W
75	chrI	119850	119891	+	YAL017W	NA
76	chrI	119953	119963	+	YAL017W	NA
77	chrI	120216	120308	+	YAL017W	YAL059W
78	chrI	124782	124803	+	YAL016W	NA
79	chrI	129210	129251	+	YAL013W	NA
80	chrI	129371	129392	+	NA	YAL061W
81	chrI	130701	130744	+	YAL012W	NA
82	chrI	131009	131114	+	NA	YAL062W
83	chrI	131210	131281	+	NA	YAL062W
84	chrI	132182	132208	+	YAL011W	NA
85	chrI	133362	133408	+	NA	YAL064W
86	chrI	135792	135854	+	YAL009W	NA
87	chrI	136844	136882	+	YAL008W	NA
88	chrI	137043	137098	+	NA	YAL066W
89	chrI	137146	137273	+	NA	YAL066W
90	chrI	137722	137770	+	NA	NA
91	chrI	141949	142068	+	YAL003W	NA
92	chrI	142138	142153	+	YAL003W	NA
93	chrI	142669	142840	+	NA	YAL068W-A
94	chrI	142928	142998	+	NA	YAL068W-A
95	chrI	143111	143117	+	NA	YAL068W-A
96	chrI	143561	143679	+	YAL002W	NA
97	chrI	144051	144079	+	NA	YAL069W
98	chrI	152204	152228	+	YAR002W	NA
99	chrI	154916	154964	+	YAR003W	NA
100	chrI	158847	158897	+	YAR008W	NA
101	chrI	159152	159164	+	NA	YAR008W
102	chrI	169259	169325	+	YAR015W	NA
103	chrI	170886	170933	+	NA	NA
104	chrI	171925	172019	+	NA	NA
105	chrI	174944	174986	+	YAR019W-A	NA
106	chrI	175295	175394	+	NA	YAR019W-A
107	chrI	179815	179870	+	NA	NA
108	chrI	180225	180269	+	NA	NA
109	chrI	180388	180430	+	NA	NA
110	chrI	183380	183380	+	YAR027W	NA
111	chrI	183668	183797	+	YAR027W	YAR027W
112	chrI	183905	183919	+	NA	YAR027W
113	chrI	184123	184139	+	NA	YAR027W
114	chrI	184832	184885	+	YAR028W	NA
